CONNECTION,TOTAL,ipV4,ipV6,TCP,UDP,ARP,ICMP,IGMP,CAST,INTERNAL,DOMESTIC,FOREIGN,HOSTILE
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2600:1408:5400:13::17cf:ca89,8,0,8,8,0,0,0,0,0,0,8,0,0
2607:f8b0:4004:810::200e-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,5,0,5,5,0,0,0,0,0,0,5,0,0
172.217.164.130-->>192.168.1.5,5,5,0,5,0,0,0,0,0,4,0,0,0
192.168.1.3-->>52.25.57.149,5,5,0,0,5,0,0,0,0,4,5,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2606:4700:10::6816:3a,12,0,12,12,0,0,0,0,0,0,12,0,0
2606:4700:10::6816:3a-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,29,0,29,29,0,0,0,0,0,0,29,0,0
2607:f8b0:4004:802::2008-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,3,0,3,3,0,0,0,0,0,0,3,0,0
2600:1408:5c00:386::1e80-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,3,0,3,3,0,0,0,0,0,0,3,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2600:1408:5c00:386::1e80,1,0,1,1,0,0,0,0,0,0,1,0,0
2607:f8b0:400d:c08::9b-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,2,0,2,2,0,0,0,0,0,0,2,0,0
13.224.209.84-->>192.168.1.5,7,7,0,7,0,0,0,0,0,6,7,0,0
2607:f8b0:4004:809::2002-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,5,0,5,5,0,0,0,0,0,0,5,0,0
2607:f8b0:4004:801::2002-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,5,0,5,5,0,0,0,0,0,0,5,0,0
2607:f8b0:4004:804::2001-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,2,0,2,2,0,0,0,0,0,0,2,0,0
2607:f8b0:4004:814::2002-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,43,0,43,43,0,0,0,0,0,0,43,0,0
51.81.46.104-->>192.168.1.5,2,2,0,2,0,0,0,0,0,1,2,0,0
192.168.1.5-->>172.217.13.226,1,1,0,1,0,0,0,0,0,0,0,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:814::2002,23,0,23,23,0,0,0,0,0,0,23,0,0
192.168.1.5-->>72.21.91.41,1,1,0,1,0,0,0,0,0,0,1,0,0
72.21.91.41-->>192.168.1.5,4,4,0,4,0,0,0,0,0,3,4,0,0
2607:f8b0:4004:810::2006-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,4,0,4,4,0,0,0,0,0,0,4,0,0
192.168.1.5-->>51.81.46.104,1,1,0,1,0,0,0,0,0,0,1,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:804::2002,1,0,1,1,0,0,0,0,0,0,1,0,0
192.168.1.5-->>51.81.46.161,6,6,0,6,0,0,0,0,0,5,6,0,0
51.81.46.161-->>192.168.1.5,4,4,0,4,0,0,0,0,0,3,4,0,0
192.168.1.5-->>102.133.174.201,49,49,0,49,0,0,0,0,0,48,0,49,0
192.168.1.3-->>40.97.169.242,2,2,0,2,0,0,0,0,0,1,2,0,0
2600:1408:5400:13::17cf:ca89-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,4,0,4,4,0,0,0,0,0,0,4,0,0
102.133.174.201-->>192.168.1.5,63,63,0,63,0,0,0,0,0,62,0,63,0
fe80::9384:eb9e:f830:92b2-->>ff02::1:2,1,0,1,0,1,0,0,0,0,0,0,0,0
2001:4de0:ac19::1:b:3b-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,2,0,2,2,0,0,0,0,0,0,2,2,0
104.69.219.34-->>192.168.1.5,8,8,0,8,0,0,0,0,0,7,8,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:808::200e,3,0,3,3,0,0,0,0,0,0,3,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:806::200e,4,0,4,4,0,0,0,0,0,0,4,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:809::200e,1,0,1,1,0,0,0,0,0,0,1,0,0
fe80::9384:eb9e:f830:92b2-->>ff02::16,5,0,5,0,0,0,0,0,0,4,0,0,0
192.168.1.5-->>104.69.219.34,7,7,0,7,0,0,0,0,0,6,7,0,0
2607:f8b0:4004:808::2006-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,5,0,5,5,0,0,0,0,0,0,5,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:808::2006,3,0,3,3,0,0,0,0,0,0,3,0,0
192.168.1.5-->>23.210.196.141,5,5,0,5,0,0,0,0,0,4,5,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2600:9000:208f:4c00:14:8cf0:e1c0:93a1,4,0,4,4,0,0,0,0,0,0,4,0,0
2600:9000:208f:4c00:14:8cf0:e1c0:93a1-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,3,0,3,3,0,0,0,0,0,0,3,0,0
192.168.1.5-->>13.224.209.84,5,5,0,5,0,0,0,0,0,4,5,0,0
192.168.1.5-->>107.20.146.253,4,4,0,4,0,0,0,0,0,3,4,0,0
107.20.146.253-->>192.168.1.5,4,4,0,4,0,0,0,0,0,3,4,0,0
192.168.1.5-->>104.17.66.240,26,26,0,26,0,0,0,0,0,25,26,0,0
104.17.66.240-->>192.168.1.5,22,22,0,22,0,0,0,0,0,21,22,0,0
192.168.1.5-->>104.17.67.240,5,5,0,5,0,0,0,0,0,4,5,0,0
104.17.67.240-->>192.168.1.5,4,4,0,4,0,0,0,0,0,3,4,0,0
2606:4700::6812:1c98-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,3,0,3,3,0,0,0,0,0,0,3,0,0
99.86.230.113-->>192.168.1.5,1,1,0,1,0,0,0,0,0,0,1,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2606:4700::6812:1c98,1,0,1,1,0,0,0,0,0,0,1,0,0
2600:9000:21a2:fe00:2:ca0b:7d80:93a1-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,2,0,2,2,0,0,0,0,0,0,2,0,0
192.168.1.5-->>52.19.174.235,1,1,0,1,0,0,0,0,0,0,0,1,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2001:4de0:ac19::1:b:3b,3,0,3,3,0,0,0,0,0,0,3,3,0
52.19.174.235-->>192.168.1.5,2,2,0,2,0,0,0,0,0,1,0,2,0
104.82.34.169-->>192.168.1.5,11,11,0,11,0,0,0,0,0,10,11,0,0
192.168.1.5-->>104.82.34.169,12,12,0,12,0,0,0,0,0,11,12,0,0
192.168.1.5-->>23.62.230.163,7,7,0,7,0,0,0,0,0,6,7,0,0
23.193.32.26-->>192.168.1.5,13,13,0,13,0,0,0,0,0,12,13,0,0
192.168.1.5-->>23.193.32.26,12,12,0,12,0,0,0,0,0,11,12,0,0
